,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
Liver_40dose_100kVp_1FBP_0-6mm,0.9503773985042382,0.5522878644911481,10.995178403246792,19.908419341021062,24.722658274448275,26.1789588011624,25.62803817974335,27.200069932320293,2090.4323243312538,18.920511781651058,0.2825933677294926,2797.7757460680004,1.3383718351002019,2111.035771833267,-15.0,161.0,63986323.0,3.487964169007195,90.0,2.981126985162194,342.0,54.075250488845796,72.98481797056546,72.0,-205.0,547.0,37.980370703926575,99.56242217898865,-0.011958949812708609,20926013.44091057,0.10367634838340391,4585.892255950597,157.78162981172534,902.4552737998991,0.05459926691718319,17.423018882180887,11.962872982294536,0.18532146432458463,2.729531037338197,2.9348881730379874,4.425300655014462,0.38409996385532685,0.2963440827853158,0.9787886973980916,0.899657854301305,-0.0206347800264966,0.32494674942182245,0.30401473579768024,12.506620394098421,0.011257471768170425,6.893115980729383,0.20647365204571155,0.02319732963640269,25.01324078819685,4.0972623166757876,7.346472966118859,6.068325410491107,1095.0483346243223,0.16964342906651003,3.2603152252890624,669.2308288148722,7.396091657611744,162.06413632842757,13.796901626646012,2238.2893880712627,0.09562665307212861,0.007875785525092872,0.2710292721871643,44.07131490171017,0.0026215581401276365,598.1354557606338,0.10141551739100489,7.670344907611042,162.08042445700158,1.3119361070147022,212.57656795069468,0.010134373238471182,0.007960139788657148,3.960949364470828,4989.22044455909,0.8444436892227117,0.9136149675266636,0.10995844441782279,0.9348670401837185,151.53376793804654,0.007502546522271513,144.90971128608925,0.07606808991395761,13.089709770530652,163.38057742782152,385.78845144356956,64636.01994750656,2.378228493432778,0.00969625946727114,744.2965879265092,0.3907068703026295,0.6481212729735045,105.6488262196081,0.006880474099623261,5.795859664368912,0.2951200619674671,374.3068482581409,2.8103393457227264,0.001059258822685036,387.7378382368272,0.05885047132715975,0.18039694758242436
Liver_40dose_100kVp_1FBP_3mm,0.6040612570734949,0.4926595895358179,10.237467980165931,20.78000347016819,20.756483420943592,20.039939673784108,14.949055946167324,22.121340691496478,1300.3749961853027,12.552395018181382,0.6011934077361692,958.3312603164857,0.736965308566979,1337.5752868652344,43.7,110.0,5094246.0,2.118489565558085,34.0,3.0147795255089576,165.0,20.413131198402688,74.66503667481662,73.0,-8.0,173.0,14.3723093059845,78.91568029597805,0.13836250418090174,8329997.010772705,0.26919076284814175,652.8168949253053,20.44584829955363,20.347740228073583,0.3050285773942961,2.561130047742173,1.8445540619558103,0.16205750848672093,1.0382276781725053,1.7531005643119437,0.7479882151609664,0.5967319242175875,0.5603710141940164,0.9732993657092938,0.8931276764890678,-0.03724123969951111,0.35274935709058536,0.49974759623576703,4.501839450207213,0.07597360651900907,4.138933891717735,0.24738944767916568,0.14508501311390756,9.003678900414425,2.7021058103273696,1.1014210274244958,5.2958206875555485,82.77261613691931,0.10118901728229746,7.9105995301319325,220.19804400977995,1.1155241778803329,21.35452322738386,39.23227383863081,795.1784841075795,2.199565311250825,0.06192271468489596,0.10707035177299659,2.326630862984478,0.010625636777931952,173.01867071708597,0.25642625011771075,1.205927079442618,21.506473196256692,1.862673600453891,39.277757945435475,0.11146862746714668,0.06324724183225984,2.943762116189379,490.0945189006613,0.7126329205744393,0.8232085762648109,0.31559305347121447,0.8615110832620944,18.61583894666176,0.055408029687339364,17.595744680851062,0.18718877320054322,3.0471933001358082,22.351063829787233,1306.4255319148936,25297.63829787234,71.54601476938292,0.1019761361991605,22.170212765957448,0.23585332729741965,0.49029606528847036,10.39017831548506,0.06607430371828515,4.830873097429238,0.11491442542787286,1230.6985061113628,2.9931801941289353,0.00804734757150933,19.01046628627531,0.028362275291543188,0.17489638830887355
Liver_40dose_120kVp_2FBP_0-6mm,0.9503773985042382,0.5522878644911481,10.995178403246792,19.908419341021062,24.722658274448275,26.1789588011624,25.62803817974335,27.200069932320293,2090.4323243312538,18.920511781651058,0.2825933677294926,2797.7757460680004,1.3383718351002019,2111.035771833267,2.0,165.0,71465494.0,3.4094133559107713,86.0,3.0391564865640652,301.0,51.15141625782018,83.3725793958172,84.0,-192.0,493.0,35.91631822076723,105.22043108143777,-0.03944629360432456,23371992.918007083,0.10988927095226982,4120.352121851752,144.36155825082335,790.4595466854747,-2.7765568791911224,16.151271384329583,10.70408592011192,0.204051786539711,2.5704190740822757,2.86339364566967,4.01821457317136,0.3977331346060985,0.31227225338775205,0.9773665183267594,0.8971164528040018,-0.0221553418658332,0.33663826307600975,0.3174952558041802,11.958113785180348,0.012495064409043254,6.761267115220947,0.2203568512295785,0.025401758034049395,23.916227570360704,4.04457304977854,6.713839326110375,6.07591003553764,1037.8309837335398,0.16077939329721763,3.5780268929687207,709.3352439969017,6.623971209847597,147.20898528272656,15.2859798605732,2266.628659953524,0.11618637022640174,0.008667780107980833,0.2501778712999771,36.845868737191346,0.0027275614402938225,629.3063779630413,0.1074946079391714,6.879771088674733,147.1499737048905,1.3400401852421797,197.3917309965188,0.011373560478084752,0.008770553974122587,3.912458557297288,4886.2945441073625,0.8329836364277755,0.906858130250849,0.11966532572849883,0.929494076315118,136.72873777823906,0.008226964807200261,136.22202898550725,0.07896929216551145,12.158538122243227,147.1223188405797,642.1246376811595,96314.42782608696,4.406042170795028,0.011009799970814355,665.2713043478261,0.38566452425960934,0.6442303510604542,95.22698082440938,0.007810332243276527,5.773356057445055,0.26723470178156467,628.1218567527831,3.268331188485682,0.0010745264743502719,294.56770737628,0.059801778163121815,0.14824843288886333
Liver_40dose_100kVp_1Safire_0-6mm,0.6457371305776846,0.4171181516753224,10.348916305444614,24.810515351295557,21.889894259874566,32.424918729563,31.016600317237508,35.83455922388515,1277.6453976430348,16.021070991099183,0.19902453565149145,2860.999147557818,2.2392748041324384,1304.5579696116038,15.0,128.0,28619150.0,2.9100422367909013,58.0,3.296380301412436,285.0,35.390010294667825,71.78490849837051,71.0,-93.0,378.0,24.481143434662627,84.70252312011142,0.08903832684793986,9359573.882178474,0.15797007828183307,2021.4443347935828,57.037512425701166,202.5892361430165,0.3469781383050901,7.960318855069635,5.20972310979358,0.20894425022167445,1.7690772415124998,2.397169089213458,2.04056860815704,0.47862663820029067,0.4110876165824881,0.9808469306399981,0.9060319156391029,-0.027944382187887275,0.3549432703299588,0.40865041276883546,7.506203991248762,0.026471637936727556,5.721458824292622,0.24394740559553277,0.056108432933608225,15.012407982497525,3.529709865867976,3.2925104912158027,5.701925951632777,594.694158937077,0.14908351941265405,4.548655707180708,630.1426422662321,3.3308919659421896,57.844071195788416,18.05690649285535,1041.2424166457758,0.36304824013342063,0.023680590884233223,0.2297218270849234,13.466244490898655,0.006890251566972068,550.0469813554795,0.153555029050123,3.4865818624996288,57.87987659380695,1.4104700718996783,81.47171956435315,0.032436619281416786,0.02404964657663664,3.4464368358797026,2968.0588973517147,0.8228948686066988,0.8971016449081126,0.1488202522119468,0.9224277549675747,53.41071853903911,0.022432946826977367,118.29875120076849,0.11363953045222717,6.077664921688208,58.261287223823246,364.4005763688761,22250.6474543708,6.251423968872676,0.03067678660269631,344.39481268011525,0.33083075185409727,0.5916165951017153,35.00303663448326,0.019758219301539228,5.458825625661085,0.26096766106793684,349.71717691829974,3.982486205468802,0.0018180484445991635,113.70560101354887,0.03634512853230623,0.1539969397178518
Liver_40dose_120kVp_1Safire_0-6mm,0.6457371305776846,0.4171181516753224,10.348916305444614,24.810515351295557,21.889894259874566,32.424918729563,31.016600317237508,35.83455922388515,1277.6453976430348,16.021070991099183,0.19902453565149145,2860.999147557818,2.2392748041324384,1304.5579696116038,28.0,134.0,33085796.0,2.7986136192502546,54.0,3.1240670277864715,235.0,33.06882746806664,80.98420656806218,81.0,-91.0,326.0,23.257391723750754,91.07281817357864,-0.07667990738073324,10820340.649973357,0.1692295452001653,1735.8164966191498,62.96862490594848,151.98022938926817,-1.9227058295649817,6.905740826274063,4.375910278374301,0.22322620841881607,1.6132553630742146,2.2922674340344065,1.7442485656524669,0.5003133403807949,0.43749158723568043,0.9791329503837751,0.9028066833626723,-0.030112661593207204,0.36075828327921455,0.42262670067096614,7.8948697028269015,0.030481789612354458,5.495923662106293,0.2545075556869463,0.058021954624863974,15.789739405653803,3.428220388124525,2.8204127761620916,5.713497214222399,551.6392579593884,0.13829011229866842,5.272766088191511,675.0566558034595,2.845655962520647,63.08022060666834,20.659062421659563,1315.8764101278516,0.3666347983948962,0.02023384160786691,0.21242571917167788,13.333542591580393,0.005448370653757825,583.5431943977171,0.1646786544765886,2.97724502872289,63.02027654899394,1.4579386795470184,92.03365343126767,0.028771580791001037,0.02051911758503636,3.374718737412461,2883.651099215031,0.8079069366613676,0.8875947316659274,0.1679336382470552,0.915421516176936,57.63086341612053,0.018982986384226994,112.66163793103448,0.12140262708085613,5.284490886964923,62.23168103448276,569.03125,36376.276939655174,9.266070780137298,0.026025400397008947,312.1056034482759,0.3363206933709869,0.5999297661983958,37.68668282733028,0.017335062018914778,5.391498380331427,0.23263975933817999,550.5542218619946,4.053420908558882,0.0018125721121222422,88.85579017759257,0.03279760352089364,0.12825523251995746
Liver_40dose_120kVp_1Safire_1-5mm,0.9316765529378717,0.5775839907715105,10.54356535336195,18.254601100141876,20.111191460792575,22.600957583505313,21.295287220709188,23.35994590648502,1762.8577308654785,17.007383828236062,0.5148336746665533,1370.7618900523603,0.7775794189468608,1787.2491302490234,52.0,116.0,16897952.0,2.0951016407033354,33.0,3.28605187463838,175.0,19.633806247692835,84.30832570905764,85.0,-15.0,190.0,13.780241698075777,87.920866024654,-0.12891832767063957,13815576.40209961,0.27892418609985026,622.1848986606108,24.754824169150172,21.32817263652565,-0.1295441396990415,2.54240644294073,1.618694348880962,0.2197504073447731,0.9420991884222263,1.702685265039731,0.717167542458398,0.6244221996267102,0.5951552015066314,0.9812178777070476,0.9116019339747109,-0.035167077549003875,0.314909842977761,0.5032274422504768,4.952058545321672,0.08447866850900768,4.070499275410182,0.263178093386179,0.1742371055138346,9.904117090643345,2.7045518057477294,1.0402751979554232,5.683283136769285,170.30192131747484,0.07790572795858867,13.74660925510338,609.7282708142726,1.076287679477403,24.972552607502287,61.234217749313814,1536.327538883806,2.6850510924440263,0.050377242879802456,0.08389279248053232,2.121628785139432,0.00582774891210546,440.18958719405316,0.2599034682259206,1.206841249885704,24.952918469442594,2.2443219598398803,56.0971018213205,0.10764348242254294,0.05197372547375291,3.1341831326736505,1116.7437141582727,0.6477861025361767,0.7734182560349075,0.48748615614087437,0.8263036106991138,20.595197566745018,0.044011077714111786,31.40223463687151,0.17543147841827658,3.4125027308760654,24.60335195530726,5916.346368715083,149334.90502793295,247.29534500620028,0.08189172265223076,44.720670391061454,0.2498361474360975,0.5064015219620246,13.263850842152067,0.041285502595907825,5.00178037600631,0.0818847209515096,5767.206329390468,5.297874497033529,0.0033321890519979877,22.73208675801876,0.019410160579491364,0.09836124808124792
Liver_40dose_120kVp_2FBP_3mm,0.6040612570734949,0.4926595895358179,10.237467980165931,20.78000347016819,20.756483420943592,20.039939673784108,14.949055946167324,22.121340691496478,1300.3749961853027,12.552395018181382,0.6011934077361692,958.3312603164857,0.736965308566979,1337.5752868652344,55.0,116.0,6522057.0,2.03079109530506,30.0,3.0664386139690953,159.0,18.761772108009875,86.1039119804401,87.0,10.0,149.0,13.10000667770407,89.29263584767736,-0.07568107821839379,10664721.592575073,0.28719639409137915,559.291158290541,15.952206951169,17.414639728852272,-0.10731438430415242,2.5091408036373006,1.5913600924685487,0.22505106481065767,0.9492095687698557,1.6772534979346705,0.679011342415233,0.6184162114353143,0.5887053917273601,0.9703280578914507,0.8897765927560166,-0.03948190965854739,0.3611805910542383,0.5132433288412083,3.9651838717910217,0.08080191936286472,4.032986353893073,0.25549741659400915,0.15959261806993366,7.930367743582044,2.690224060165799,1.0251252240264623,5.307886840681425,79.43276283618582,0.09710606703690199,8.295568534382266,234.92665036674816,0.981344265039066,16.563569682151588,42.84352078239609,708.3850855745721,3.0763599828684534,0.08311358243378851,0.09883747711617148,1.8731401338768932,0.012304439245700738,182.75533311735393,0.2741856256543107,1.061579819070904,16.604045244220806,1.907702650650995,31.502069935658213,0.1517487796701831,0.08531845225051336,2.902161237119205,467.70746253982696,0.6908181618448223,0.8123942072597329,0.3263161935744702,0.8510727088811886,14.166573543886576,0.07405834349350002,14.818181818181818,0.19244391971664698,2.9984820374430767,19.31168831168831,1962.5974025974026,31950.116883116883,129.86534948611478,0.13703419029949643,21.155844155844157,0.2747512228031709,0.539485607441931,11.503550210394067,0.08761857280387217,4.536303460111501,0.0941320293398533,1849.741271715298,3.7559291353475257,0.008583832041846144,12.842712077370898,0.03043551890316996,0.13097352714247484
Liver_40dose_100kVp_1Safire_1-5mm,0.9316765529378717,0.5775839907715105,10.54356535336195,18.254601100141876,20.111191460792575,22.600957583505313,21.295287220709188,23.35994590648502,1762.8577308654785,17.007383828236062,0.5148336746665533,1370.7618900523603,0.7775794189468608,1787.2491302490234,41.0,109.0,13886220.0,2.201081132489479,35.0,3.1840397955637334,181.0,21.18594248185032,75.06861848124429,75.0,-21.0,202.0,14.840013934523167,79.70158202628815,0.08104670112676349,11353218.031768799,0.2578267758981927,717.0446968105276,21.039672647758593,27.649225670755893,0.6943040191448777,2.860880635479698,1.7487020093790568,0.23465741925252795,0.9928651344221279,1.743630985086517,0.751413262282675,0.6105716313573526,0.57771451818976,0.9797316005162016,0.9072152942695804,-0.03767929094412268,0.3436080504321549,0.5006028199741167,4.55647414465374,0.07548293958989548,4.206033809561327,0.2711944567746512,0.1323988801829129,9.11294828930748,2.785089889394527,1.1523956612146888,5.696160794971443,180.87923147301007,0.0827443876820723,12.577887731040665,563.6093321134492,1.2437571621455341,21.741537053979872,55.466605672461114,1177.5558096980787,2.975556150787888,0.06331038796613832,0.09009020782242066,2.0559856600619617,0.008687024198799822,415.4971805791266,0.2414012292505313,1.3840676054115817,21.85150076505507,2.0896002690722244,45.06851512387486,0.12544624452331063,0.06549553778184108,3.186808102772452,1154.5811376488602,0.6611992708518831,0.7865789288479134,0.41596406314061796,0.8351654866158538,18.31611832654263,0.056206938444148,32.70984455958549,0.16948105989422535,3.768423313377541,23.39378238341969,4821.233160621761,99868.10880829016,248.22503753914728,0.10958350304236067,47.62176165803109,0.2467448790571559,0.503914357572352,11.832924464927016,0.06186322821694961,5.016578907854203,0.08828911253430924,4692.945260275443,6.013024596260094,0.0033225868612163627,24.07849255528208,0.023934246175763688,0.0966775038436183
Liver_40dose_120kVp_2FBP_1-5mm,0.6906841781369412,0.6461628261301594,13.696431511333186,21.19656371035844,20.557750582415117,25.938451836827237,18.33852581127131,26.775979519405688,1851.1573219299316,14.640131185616232,0.4664113769293153,1563.1855861911124,0.8444369193653443,1885.3597869873047,39.0,128.0,18826638.0,2.5678695427904907,47.0,2.9672766104161323,195.0,28.05481458302148,83.1899392888118,84.0,-27.0,222.0,19.567562892622348,90.35594544749294,-0.07901715036891131,15392448.486282349,0.1966697231626986,1243.6308788341287,35.1045787320896,73.11181481523543,-0.923802304619466,4.94660504216964,3.2433209094906985,0.20804760457592655,1.3924646815241897,2.0978374546988983,1.2761827755395743,0.5306305260572922,0.47650507082181576,0.9703474439347841,0.8861138141349544,-0.029016115055150504,0.32571818351436366,0.4576500820754551,5.888757914566596,0.04108608326513426,5.045341496299121,0.2288113879625612,0.08497694513172,11.77751582913319,3.187509910504708,2.047481487915085,5.693253040150751,256.1240242844753,0.11106852744339778,7.322478635243179,453.520381613183,2.068821747107173,36.06287944492628,31.539462272333044,1126.5069384215092,1.0116660796694767,0.038186484336434776,0.14150540671935535,5.075026208354496,0.008063327023726459,369.03262674010733,0.18833759318994023,2.2185051542595278,36.10041315150934,1.664463420887524,59.89962722287382,0.060902877322094255,0.0391415962095876,3.303825500439174,1483.5192573309619,0.7510314014155373,0.8491894055640805,0.2513398992265634,0.8870241300343171,32.04499573267453,0.0353709709570802,43.455089820359284,0.13010505934239305,4.8409767291763774,36.65868263473054,1740.377245508982,61777.69161676647,52.052219579171215,0.05931435268163598,97.0119760479042,0.2904550181074976,0.5527468463135095,19.551447911647845,0.03936343384859098,5.28091816386412,0.1448395490026019,1692.7093836279541,4.989995510293153,0.0030761143865368624,37.962038189069006,0.04285365361451486,0.09702753478807206
Liver_40dose_100kVp_1FBP_1-5mm,0.6906841781369412,0.6461628261301594,13.696431511333186,21.19656371035844,20.557750582415117,25.938451836827237,18.33852581127131,26.775979519405688,1851.1573219299316,14.640131185616232,0.4664113769293153,1563.1855861911124,0.8444369193653443,1885.3597869873047,25.0,120.0,15430554.0,2.6277680871299927,50.0,2.8949960216037693,213.0,29.472125583624003,73.0225498699046,73.0,-42.0,255.0,20.920874300938024,81.80146994821979,0.10655177482034396,12615848.223129272,0.1862263607362369,1359.187696186802,30.520371636655284,86.82484088208373,1.5946047246719213,5.355682082958257,3.5770448968176582,0.19822308455740395,1.4690891826004928,2.1586677255419477,1.3860810723217891,0.5187555985478876,0.4605624656102085,0.9727338372291021,0.8898222199123507,-0.029439356334481512,0.32969134479857876,0.44113702089247925,5.484051976699088,0.03669339456111181,5.166439545743874,0.25796303554083183,0.06972877553081155,10.968103953398176,3.2407315883580763,2.2331817449439786,5.715467396274112,266.7103209019948,0.11565928920294657,6.528983931957734,429.4379878577624,2.2483707045762436,31.78707718993929,29.316565481352992,917.4288811795317,1.138949685958185,0.046131785051395986,0.14231625401190034,4.891311926018043,0.00937914548274709,355.2982605818614,0.18019741501269265,2.382047180980422,31.895705410518907,1.6112647608212176,50.97356017987303,0.07158194241358758,0.04715510171786359,3.3375456833215074,1498.8138295347048,0.753832667402948,0.8548602308359463,0.21917031607072165,0.8882314205666287,28.415409702686016,0.04260317024692524,43.11764705882353,0.1268166089965398,5.028892733564015,34.63529411764706,1599.3294117647058,48870.07352941176,58.01569355781415,0.07023994349806038,95.16470588235295,0.2798961937716263,0.5377849919778299,19.46409551016929,0.04393144004558144,5.315620302879078,0.1474414570685169,1553.3291003460206,4.868838333597827,0.003005458979695599,50.33110841649185,0.04008107329451145,0.12228785510728328
