,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_shape_Elongation,0.8206979321888082,0.8206979321888082,0.8206979321888082,0.8258193343923119,0.8206979321888082,0.6919916261427921,0.8206979321888082,0.6919916261427921,0.8258193343923119,0.8258193343923119,0.6919916261427921,0.8258193343923119,0.6919916261427921,0.8206979321888082,0.7875017343711606,0.8258193343923119,0.8258193343923119,0.8206979321888082,0.8258193343923119,0.6919916261427921,0.6919916261427921,0.8206979321888082,0.6919916261427921,0.6919916261427921
original_shape_Flatness,0.07962245772812032,0.07962245772812032,0.07962245772812032,0.03564407060583071,0.07962245772812032,0.11381268258291853,0.07962245772812032,0.11381268258291853,0.03564407060583071,0.03564407060583071,0.11381268258291853,0.03564407060583071,0.11381268258291853,0.07962245772812032,0.022920225835998197,0.03564407060583071,0.03564407060583071,0.07962245772812032,0.03564407060583071,0.11381268258291853,0.11381268258291853,0.07962245772812032,0.11381268258291853,0.11381268258291853
original_shape_LeastAxisLength,13.02406272123119,13.02406272123119,13.02406272123119,8.377410561475674,13.02406272123119,22.765096192736753,13.02406272123119,22.765096192736753,8.377410561475674,8.377410561475674,22.765096192736753,8.377410561475674,22.765096192736753,13.02406272123119,3.914752627610555,8.377410561475674,8.377410561475674,13.02406272123119,8.377410561475674,22.765096192736753,22.765096192736753,13.02406272123119,22.765096192736753,22.765096192736753
original_shape_MajorAxisLength,163.57272926318464,163.57272926318464,163.57272926318464,235.02956926881646,163.57272926318464,200.02249025411717,163.57272926318464,200.02249025411717,235.02956926881646,235.02956926881646,200.02249025411717,235.02956926881646,200.02249025411717,163.57272926318464,170.7990425409377,235.02956926881646,235.02956926881646,163.57272926318464,235.02956926881646,200.02249025411717,200.02249025411717,163.57272926318464,200.02249025411717,200.02249025411717
original_shape_Maximum2DDiameterColumn,131.16796875,131.16796875,131.16796875,192.46140366844858,131.16796875,167.53248941553284,131.16796875,167.53248941553284,192.46140366844858,192.46140366844858,167.53248941553284,192.46140366844858,167.53248941553284,131.16796875,167.92490005796876,192.46140366844858,192.46140366844858,131.16796875,192.46140366844858,167.53248941553284,167.53248941553284,131.16796875,167.53248941553284,167.53248941553284
original_shape_Maximum2DDiameterRow,152.81851203185073,152.81851203185073,152.81851203185073,166.4835029787312,152.81851203185073,117.474609375,152.81851203185073,117.474609375,166.4835029787312,166.4835029787312,117.474609375,166.4835029787312,117.474609375,152.81851203185073,151.3773868035598,166.4835029787312,166.4835029787312,152.81851203185073,166.4835029787312,117.474609375,117.474609375,152.81851203185073,117.474609375,117.474609375
original_shape_Maximum2DDiameterSlice,173.00628254899334,173.00628254899334,173.00628254899334,229.77322257878419,173.00628254899334,177.26952970061808,173.00628254899334,177.26952970061808,229.77322257878419,229.77322257878419,177.26952970061808,229.77322257878419,177.26952970061808,173.00628254899334,194.254561411203,229.77322257878419,229.77322257878419,173.00628254899334,229.77322257878419,177.26952970061808,177.26952970061808,173.00628254899334,177.26952970061808,177.26952970061808
original_shape_Maximum3DDiameter,173.6181565454102,173.6181565454102,173.6181565454102,240.90675610090668,173.6181565454102,181.473171741921,173.6181565454102,181.473171741921,240.90675610090668,240.90675610090668,181.473171741921,240.90675610090668,181.473171741921,173.6181565454102,207.27839065077316,240.90675610090668,240.90675610090668,173.6181565454102,240.90675610090668,181.473171741921,181.473171741921,173.6181565454102,181.473171741921,181.473171741921
original_shape_MeshVolume,27100.63268852234,27100.63268852234,27100.63268852234,17871.248083579412,27100.63268852234,19164.35923075676,27100.63268852234,19164.35923075676,17871.248083579412,17871.248083579412,19164.35923075676,17871.248083579412,19164.35923075676,27100.63268852234,8329.443449872022,17871.248083579412,17871.248083579412,27100.63268852234,17871.248083579412,19164.35923075676,19164.35923075676,27100.63268852234,19164.35923075676,19164.35923075676
original_shape_MinorAxisLength,134.24380066877538,134.24380066877538,134.24380066877538,194.09196245608578,134.24380066877538,138.41388829607732,134.24380066877538,138.41388829607732,194.09196245608578,194.09196245608578,138.41388829607732,194.09196245608578,138.41388829607732,134.24380066877538,134.50454222992207,194.09196245608578,194.09196245608578,134.24380066877538,194.09196245608578,138.41388829607732,138.41388829607732,134.24380066877538,138.41388829607732,138.41388829607732
